qstr_Next_Page|下 一 页 
qstr_Only_you_know_exactl|只 有 你 确 切 知 道 自 己 为 何 放 弃 以 前 的 生 活， 来 做 一 个 冒 险 者。 因 为 心 中 的 熊 熊 燃 烧 的 怒 火， 决 定 离 开 并 不 艰 难。 你 要 复 仇， 你 要 审 判， 对 你 所 作 的 一 切 都 不 能 饶 恕， 所 有 的 债 只 能 用 鲜 血 来 偿 还…… 
qstr_Only_you_know_exactly|只 有 你 确 切 知 道 自 己 为 何 放 弃 以 前 的 生 活， 来 做 一 个 冒 险 者。 你 只 想 说 的 就 是 不 能 再 忍 受 下 去， 带 着 那 些 让 你 爱 得 如 此 甜 蜜 又 如 此 痛 苦 的 记 忆。 也 许 新 的 生 活 会 让 你 忘 掉， 或 者 给 你 再 也 忍 不 住 要 说 的 那 个 名 字 带 去 荣 誉…… 
qstr_Only_you_know_exactly_|只 有 你 确 切 知 道 自 己 为 何 放 弃 以 前 的 生 活， 来 做 一 个 冒 险 者。 你 不 确 定 从 何 时 起， 家 园 变 成 了 监 狱， 亲 人 也 变 得 陌 生， 只 有 流 浪 占 据 了 你 的 世 界。 不 管 是 向 往 遥 远 的 乐 土 还 是 仅 仅 路 上 的 自 由， 你 再 不 愿 呆 在 同 样 的 地 方， 只 是 再 不 回 头 地 走 下 去…… 
qstr_Only_you_know_exactly_w|只 有 你 确 切 知 道 自 己 为 何 放 弃 以 前 的 生 活， 来 做 一 个 冒 险 者。 你 知 道 再 也 不 能 回 去， 也 没 有 地 方 可 回。 曾 经 的 家 园 已 经 烟 消 云 散， 你 必 须 面 对 现 实， 在 大 千 世 界 上， 沉 浮 全 靠 自 己 一 人…… 
qstr_Only_you_know_exactly_wh|只 有 你 确 切 知 道 自 己 为 何 放 弃 以 前 的 生 活， 来 做 一 个 冒 险 者。 每 个 人 都 知 道， 很 明 显 你 是 单 纯 为 钱 财 而 来。 你 想 富 有 、 强 大 、 受 人 尊 敬 、 令 人 畏 惧 、 让 人 顺 从。 你 想 让 人 们 都 知 道 你 的 名 字， 并 且 无 论 何 时 听 到 它 就 发 抖。 你 想 要 每 一 样 东 西， 并 且 不 会 让 任 何 人 阻 止 你 得 到 它…… 
qstr_Back_to_the_beginnin|退 回 开 始…… 
qstr_View_next_segment...|查 看 下 节…… 
qstr_^No_food:___{reg7}|^ 没 有 食 物 ： -{reg7}
qstr_^Wage_debt:___{reg6}|^ 拖 欠 工 资 ： -{reg6}
qstr_Appoint_next_marshal|委 任 下 一 任 元 帅 
qstr_Award_{s12}_as_fief|把 {s12}作 为 封 地 授 予 
qstr_No_one|没 有 人 
qstr_Selected_faction_is:|选 择 的 阵 营 是 ： {s10}^^{s9}
qstr_You_are_currently_re|你 正 在 阅 读 {s8}。 
qstr_You_are_not_reading_|你 没 有 在 读 任 何 书 籍。 
qstr_none|无 
qstr_{s5}_and_{s6}|{s5}和 {s6}
qstr_Your_estates_are:_{s|你 的 封 地 在 ： {s8}。 ^{s9}
qstr_Current_party_size_l|当 前 的 部 队 上 限 为 {reg5}^ 当 前 部 队 上 限 的 修 正 为 ： ^^ 因 基 础 人 数 ： +30^ 因 玩 家 统 御 ： {s2}{reg1}^ 因 玩 家 魅 力 ： {s3}{reg2}^ 因 玩 家 声 望 ： {s4}{reg3}^ 总 计 ： {reg5}
qstr_Loyal|忠 诚 的 
qstr_Devoted|忠 实 的 
qstr_Fond|喜 欢 的 
qstr_Gracious|亲 切 的 
qstr_Friendly|友 好 的 
qstr_Supportive|支 援 的 
qstr_Favorable|赞 同 的 
qstr_Cooperative|合 作 的 
qstr_Accepting|信 任 的 
qstr_Indifferent|冷 淡 的 
qstr_Suspicious|猜 疑 的 
qstr_Grumbling|抱 怨 的 
qstr_Hostile|敌 对 的 
qstr_Resentful|怨 恨 的 
qstr_Angry|发 怒 的 
qstr_Hateful|憎 恨 的 
qstr_Revengeful|报 复 的 
qstr_Vengeful|复 仇 的 
qstr_Your_relation_with_t|你 与 各 个 阵 营 的 关 系 为 ： ^{s2}
qstr_Player_renown_is_inc|玩 家 声 望 上 升 100 点。 
qstr_Player_honor_is_incr|玩 家 荣 誉 值 增 加 一 点 现 在 是 {reg7}。 
qstr_{reg1}_{s1}_{reg2?ac|{reg1}个 {s1}{reg2?接 受 :接 受 }你 的 提 议。 
qstr_No_one_accepts_the_o|没 人 接 受 你 的 提 议。 
qstr_You_start_reading_{s|你 开 始 读 {s2}。 你 决 定 把 它 带 在 身 边， 任 何 有 空 的 时 候 就 读 几 页。 
qstr_You_flip_through_the|你 翻 着 {s2}， 但 你 发 现 里 面 的 内 容 很 难 理 解。 看 了 几 页 后， 你 感 觉 到 头 很 痛， 然 后 放 弃 阅 读 了。 
qstr_Villagers|村 民 们 
qstr_You_have_encountered|你 遇 到 {s1}了。 
qstr_You_have_engaged_{s1|你 与 {s1}开 战 了， 他 们 曾 经 袭 击 过 {s3}。 
qstr_You_were_caught_by_{|当 你 带 着 部 下 在 {s3}掠 夺 的 时 候， 被 {s1}撞 见 了。 
qstr_You_were_victorious!|你 获 胜 了！ 
qstr_Battle_was_lost._You|你 战 败 了。 你 的 队 伍 被 彻 底 摧 毁 了。 
qstr_Your_companions_carr|你 的 同 伴 把 你 从 战 场 上 运 了 出 来。 
qstr_You_have_defeated_th|你 击 败 了 敌 人。 
qstr_You_have_retreated_f|你 撤 离 了 战 场。 
qstr_^^Ally_Casualties:{s|^^ 友 军 伤 亡 ： {s0}
qstr_{s1}_of_{s3}_managed|{s3}的 {s1}设 法 逃 离。 
qstr_Some_of_your_tendons|你 的 一 些 肌 腱 在 战 斗 中 受 伤 了， 你 失 去 1 点 力 量。 
qstr_You_took_a_nasty_wou|你 遭 受 了 一 次 很 讨 厌 的 创 伤 导 致 你 即 使 痊 愈 了 还 是 有 些 跛 足。 你 失 去 了 一 点 敏 捷 值。 
qstr_You_have_trouble_thi|这 场 战 斗 结 束 以 后， 你 发 现 你 思 考 问 题 的 时 候 有 些 困 难， 也 许 是 因 为 战 斗 中 你 的 头 部 挨 了 特 别 重 的 一 击。 而 且 现 在 你 频 繁 地 感 到 头 痛。 你 的 智 力 下 降 1 点。 
qstr_Perhaps_I_m_getting_|也 许 我 的 运 气 在 变 差…… 
qstr_Retirement_is_starti|撤 退 听 起 来 变 得 越 来 越 动 听。 
qstr_No_matter!_I_will_pe|没 关 系！ 我 将 继 续 坚 持！ 
qstr_What_did_I_do_to_des|我 该 怎 么 做 才 能 得 到 这 些？ 
qstr_I_suppose_it_ll_make|我 猜 这 些 至 少 可 以 构 造 出 一 个 很 好 的 故 事…… 
qstr_{s9}_wants_you_to_fo|{s9}希 望 你 能 够 在 接 到 进 一 步 的 指 令 以 前 跟 着 他 的 部 队 前 进。 
qstr_{s8}_of_{s9}|{s9}的 {s8}
qstr__Your_own_banner_fli|你 自 己 的 旗 帜 飘 扬 在 城 堡 大 门 上。 
qstr__You_see_the_banner_|你 看 到 {s7}的 旗 帜 挂 在 城 堡 大 门 上。 
qstr__Your_own_banner_flie|你 自 己 的 旗 帜 飘 扬 在 城 镇 大 门 上。 
qstr__You_see_the_banner_o|你 看 到 {s7}的 旗 帜 挂 在 城 镇 大 门 上。 
qstr_The_{reg6?town_s:cas|好 像 {reg6?城 镇 里 :城 堡 里 }食 品 仓 库 中 的 存 粮 能 够 支 持 {reg3}天 ({reg7}/{reg8})。 
qstr_The_{reg6?town_s:cast|{reg6?城 镇 里 :城 堡 里 }食 品 仓 库 中 已 经 没 有 存 粮 了， 守 城 人 员 快 要 饿 死 了。 
qstr_You_re_preparing_to_|你 正 准 备 攻 击 围 墙， 需 要 {reg9}小 时 的 时 间 准 备。 
qstr_Your_forces_are_buil|你 的 部 队 正 在 制 造 攻 城 塔， 需 要 {reg9}小 时 完 成。 
qstr_You_are_ready_to_att|你 准 备 好 随 时 攻 击 围 墙 了。 
qstr_The_siege_tower_is_b|攻 城 塔 造 好 了， 现 正 等 待 进 攻 命 令。 
qstr_As_a_last_defensive_|你 撤 退 到 城 堡 的 大 厅 里 进 行 最 后 的 防 御。 你 和 你 手 下 残 余 的 士 兵 将 准 备 在 这 里 接 受 一 场 恶 战。 如 果 你 战 败 了， 你 就 无 路 可 退 了。 
qstr_You_ve_been_driven_a|你 被 敌 人 从 城 墙 上 面 赶 下 去 了， 现 在 敌 人 大 量 涌 入 街 道 内。 如 果 你 能 击 败 他 们， 你 也 许 能 扭 转 局 势， 反 败 为 胜。 
qstr_You_ve_breached_the_|你 已 经 突 破 了 城 墙， 但 是 那 些 顽 固 的 守 卫 者 继 续 在 街 道 上 抵 抗 你 的 攻 击！ 你 得 消 灭 他 们 才 能 攻 击 城 镇 中 心 的 城 堡。 
qstr_The_town_centre_is_y|这 个 城 镇 的 镇 广 场 是 你 的 了， 但 是 剩 下 的 守 卫 者 撤 退 到 城 堡 里 了。 你 要 完 全 消 灭 他 们 才 能 取 得 完 全 的 胜 利。 
qstr_The_remaining_defend|剩 下 的 守 卫 撤 退 到 城 堡 这 个 最 后 的 防 线。 你 必 须 冲 进 去 清 除 剩 余 的 抵 抗 力 量。 
qstr_However_since_you_ar|然 而， 自 从 你 放 弃 向 {s9}发 的 誓 言。 他 是 绝 对 不 会 承 认 你 是 这 个 {reg8?城 镇 :城 堡 }的 {领 主/领 主}。 
qstr_The_enemy_has_been_f|敌 人 被 迫 撤 退 了。 进 攻 停 止 了， 但 是 围 城 还 在 继 续。 
qstr_As_you_approach_you_|当 你 走 近 城 堡， 你 被 守 卫 发 现 了， 他 们 打 开 了 大 门 欢 迎 他 们 的 {国 王/女 王}。 
qstr_As_you_approach_you_a|当 你 走 近 城 堡， 你 被 守 卫 发 现 了， 他 们 打 开 了 大 门 欢 迎 他 们 的 {领 主/夫 人}。 
qstr__This_village_and_th|这 个 村 子 及 周 围 的 土 地 属 于 你。 
qstr__You_remember_that_t|你 记 得 这 个 村 子 及 周 围 的 土 地 属 于 {s7}。 
qstr__These_lands_belong_|这 些 土 地 不 属 于 任 何 人。 
qstr__The_village_is_infe|这 个 村 子 受 到 {reg8}个 {s35}侵 扰。 
qstr__The_village_has_bee|这 个 村 庄 受 到 了 掠 夺， 当 你 经 过 那 些 烧 毁 的 房 屋 时， 无 数 冤 魂 四 散 而 去。 
qstr__The_village_is_bein|村 庄 已 遭 到 袭 击。 
qstr_No_one_here_seems_to|这 里 好 像 没 有 人 想 加 入 你 的 部 队。 
qstr_One_{s3}_volunteers_|1 个 {s3}的 志 愿 者 跟 随 你。 
qstr_{reg5}_{s3}_voluntee|{reg5}个 {s3}的 志 愿 者 跟 随 你。 
qstr_Try_as_you_might_you|不 论 你 怎 么 努 力， 你 都 没 有 能 打 败 这 些 强 盗。 强 盗 们 十 分 生 气 地 烧 毁 了 村 子 来 报 复 那 些 农 民， 然 后 离 开 这 个 烧 焦 的 地 方 去 寻 找 别 的 地 方 进 行 掠 夺。 
qstr_village|村 子 
qstr_town|城 镇 
qstr_castle|城 堡 
qstr_The_{s17}_has_no_imp|{s17}没 有 升 级 的 设 施。 
qstr_The_{s17}_has_the_fo|{s17}有 如 下 升 级 的 设 施 ： {s18}。 
qstr_The_assasins_beat_yo|刺 客 把 你 放 倒， 然 后 让 你 躺 在 地 上 等 死…… 
qstr_You_have_fallen._The|你 倒 下 了。 强 盗 们 迅 速 从 你 的 身 上 搜 刮 钱 财， 然 后 消 失 在 夜 幕 中。 他 们 仅 仅 是 没 有 杀 了 你。 
qstr_Luckily_some_of_your|很 幸 运 的 是， 你 的 一 些 同 伴 发 现 你 没 有 回 来 就 出 来 寻 找 你， 并 且 发 现 你 躺 在 路 边。 他 们 急 忙 把 你 抬 带 安 全 的 地 方 并 为 你 包 扎 伤 口。 
qstr_Luckily_some_passing|很 幸 运 的 是， 一 些 路 过 的 镇 民 发 现 你 躺 在 路 边 上， 他 们 差 点 就 把 你 当 成 乞 丐 了。 他 们 把 你 抬 到 最 近 的 旅 馆 里 并 为 你 包 扎 伤 口。 
qstr_You_fail_to_steal_an|你 没 能 偷 到 一 头 牛。 
qstr_You_drive_away_{reg1|你 从 村 子 的 牛 栏 里 赶 走 了 {reg17}{reg12?头 :头 }牛。 
qstr_You_are_at_{s2}.|你 在 {s2}。 
qstr__This_castle_has_no_|这 座 城 堡 没 有 驻 军。 
qstr__This_town_has_no_ga|这 座 城 镇 没 有 驻 军。 
qstr__You_have_successful|你 成 功 潜 入 了。 
qstr_{s13}_A_tournament_w|{s13}一 场 比 赛 马 上 要 开 始 了。 
qstr___{reg1}_denars_per_|（ 每 晚 {reg1}第 纳 尔 ） 
qstr_Moreover_you_earn_{r|此 外， 你 聪 明 地 往 自 己 身 上 押 注， 赢 得 了 {reg8}第 纳 尔。 
qstr_Victory_is_yours!_Yo|你 赢 了！ 你 在 这 场 混 战 中 获 胜 了， 但 是 你 得 准 备 好 进 入 下 一 轮 比 赛。 
qstr_You_have_been_bested|你 在 混 战 中 被 打 败 了， 但 是 竞 技 场 老 板 相 当 认 可 你 的 技 能 和 勇 气， 允 许 你 进 入 下 一 轮 比 赛。 
qstr_You_were_beaten._The|你 被 打 败 了， 这 些 农 民 被 他 们 的 胜 利 所 鼓 舞， 但 是 你 想 教 给 他 们 的 东 西 他 们 可 能 没 有 真 正 掌 握…… 
qstr_After_beating_your_l|在 你 击 倒 最 后 一 个 对 手 后， 你 向 这 些 农 民 解 释 怎 样 更 好 地 防 御 这 样 的 一 击。 希 望 他 们 能 接 受 这 些 经 验， 下 次 能 提 前 做 好 准 备。 
qstr_The_bandits_are_brok|这 些 强 盗 被 打 败 了！ 那 些 还 活 着 的 和 意 识 还 清 醒 的 都 夹 着 尾 巴 逃 跑 了， 他 们 惧 怕 这 些 农 民 和 他 们 的 新 教 官。 
qstr_{s1}_s_Ship|{s1}的 船 
qstr_However_{reg3?You_ar|不 过， {reg3?你 :{s1}}不 能 找 到 任 何 能 够 给 你 带 来 利 润 的 商 品。 
qstr_^Buying_{s4}_here_an|^ 在 这 里 购 买 {s4}然 后 卖 到 {s5}去， 将 会 获 得 每 件 商 品 {reg6}第 纳 尔 的 利 润。 {s3}
qstr_{reg3?You_find:{s1}_|{reg3?你 :{s1}}找 到 下 列 物 品 ： ^{s3}
qstr_{s2}^{reg1}_{s1}_ear|{s2}^{reg1}个 {s1}获 得 {reg0}点 经 验。 
qstr_{s2}^{s1}_earned_an_|{s2}^{s1}获 得 了 {reg0}点 额 外 的 经 验。 
qstr_^You_earned_{reg0}_e|^ 你 获 得 了 {reg0}点 经 验。 {s2}
qstr_The_training_didn_t_|训 练 进 行 得 很 糟 糕。 
qstr_The_training_didn_t_g|训 练 进 行 得 不 太 好。 
qstr_The_training_went_qu|训 练 进 行 得 很 好。 
qstr_The_training_went_ve|训 练 进 行 得 非 常 好。 
qstr_The_training_went_pe|训 练 进 行 得 很 完 美。 
qstr_{s13}_asked_you_to_r|{s13}要 你 带 着 至 少 {reg13}人 去 向 他 报 告。 
qstr_{s13}_ordered_you_to|{s13}命 令 你 参 加 对 {s14}的 攻 击。 
qstr_Find_and_speak_with_|找 到 并 请 求 {s4}的 {s3}让 他 接 受 你 为 他 立 下 效 忠 的 誓 言。 
qstr_There_has_been_an_al|有 涉 嫌 边 境 事 件： {s9}
qstr_^^Note_that_so_long_|^^注 意 只 要 你 还 在 做 元 帅， 这 个 国 家 的 领 主 们 都 会 等 着 让 你 率 领 他 们 进 行 战 役。 所 以， 如 果 你 正 在 准 备 一 场 宴 会， 或 者 是 婚 礼 以 及 其 它 活 动， 你 也 许 要 去 和 你 的 领 主 谈 谈 来 辞 去 元 帅 的 职 务。 
qstr_Now_your_party_now_c|现 在 你 的 部 队 能 快 速 移 动 了，但 这 会 降 低 你 部 队 的 士 气，注 意 ！
qstr_Now_your_party_now_ca|现 在 你 的 部 队 可 以 隐 蔽 行 军 了，但 是 由 于 你 的 领 导 力，这 只 能 持 续 {reg1} 小 时。
qstr_Breaking_camp...|终 止 宿 营…… 
qstr_Your_party_is_spotte|你 的 部 队 被 {s1}发 现 了。 
qstr_Party_has_nothing_to|部 队 没 有 东 西 吃 了！ 
qstr_{reg1}_{s1}_{reg2?ha|{reg1}个 {s1}{reg2?已 :已 }趁 着 夜 色 逃 离 了 你 的 队 伍。 
qstr_{s1}_of_{s3}_has_bee|{s3}的 {s1}已 经 从 监 狱 里 释 放 出 来 了。 
qstr_Building_of_{s0}_in_|{s4}的 建 筑 物 {s0}已 经 完 工 了。 
qstr_{s1}_has_won_the_tou|{s1}赢 得 了 在 {s2}的 比 赛。 
qstr_{s1}_is_no_longer_in|{s1}不 再 受 到 夜 间 的 强 盗 侵 扰。 
qstr_You_pay_for_accommod|你 支 付 了 宿 金。 
qstr_Betrothal_to_{s5}_ex|和 {s5}的 婚 约 过 期 
qstr__Your_tactics_skill_|你 的 战 术 技 能 提 高 1 级。 
qstr__Your_persuasion_ski|你 的 说 服 力 技 能 提 高 1 级。 
qstr__Your_leadership_ski|你 的 统 御 技 能 提 高 1 级。 
qstr__Your_intelligence_h|你 的 智 力 提 高 1 点。 
qstr__Your_trade_skill_ha|你 的 交 易 技 能 提 高 1 级。 
qstr__Your_weapon_master_|你 的 武 器 掌 握 技 能 提 高 1 级。 
qstr__Your_engineer_skill|你 的 工 程 学 技 能 提 高 1 级。 
qstr_You_have_finished_re|你 已 经 读 完 了 {s1}。 {s2}
qstr_Book_Read|读 书 
qstr_{s1}_is_scouted.|{s1}已 经 侦 察 过 了。 
qstr_{s1}_has_switched_fr|{s1}由 {s2}转 到 {s3}。 
qstr_Now:{reg2}|Now:{reg2}{***}
qstr_Notice!Cover_up_is_n|注 意，隐 蔽 行 军 结 束 了。
qstr_{reg65?my_Lady:my_Lo|{reg65?尊 敬 的 女 士:我 的 大 人} 
qstr_{reg65?My_Lady:My_Lo|{reg65?尊 敬 的 女 士:我 的 大 人} 
qstr_{reg65?madame:sir}|{reg65?夫 人:先 生} 
qstr_{reg65?Madame:Sir}|{reg65?夫 人:先 生} 
qstr__no_fiefs_|（ 没 有 封 地 ） 
qstr__fiefs:_{s0}_|（ 封 地： {s0}） 
qstr_It_s_your_money_or_y|要 钱 还 是 要 命， {小 伙 子/小 姑 娘}。 不 快 跑 的 话， 我 将 折 磨 死 你。 
qstr_Lucky_for_you_you_ca|你 很 走 运， 刚 好 碰 到 我 今 天 心 情 特 别 好。 交 出 你 所 有 的 钱， 我 就 让 你 活 着 离 开。 
qstr_This_a_robbery_eh?_I|这 是 一 次 抢 劫， 明 白 不？ 我 给 你 一 个 机 会 交 出 你 所 有 的 东 西， 否 则 我 和 我 的 兄 弟 们 将 杀 了 你， 明 白 不？ 
qstr_we_have_made_very_li|到 目 前 为 止， 我 们 基 本 没 有 什 么 进 展 
qstr_we_have_suceeded_in_|我 们 成 功 占 领 了 一 些 土 地， 但 是 我 们 还 有 很 长 的 一 段 路 要 走 
qstr_we_have_become_a_sig|我 们 现 在 成 了 显 赫 一 方 的 势 力 了， 我 们 很 有 机 会 能 赢 得 最 终 的 胜 利。 
qstr_we_are_winning_the_w|我 们 赢 得 了 这 场 战 争， 但 是 我 们 的 敌 人 还 在 顽 强 抵 抗 
qstr_we_are_on_the_verge_|我 们 已 经 接 近 最 终 的 胜 利 了。 残 余 的 敌 人 完 全 够 不 成 威 胁， 但 是 我 们 仍 然 需 要 将 他 们 赶 尽 杀 绝。 
qstr_{playername}_when_we|{playername}， 当 我 们 开 始 力 图 实 现 我 们 远 大 目 标 的 时 候， 很 少 有 人 有 胆 量 支 持 我 们， 还 是 有 极 少 数 的 人 愿 意 冒 性 命 危 险 支 持 我 们。 但 是 对 于 投 身 到 对 抗 我 们 敌 人 的 事 情， 你 一 刻 也 没 有 犹 豫。 我 们 风 雨 同 舟 走 过 了 相 当 长 的 一 段 路， 其 间 有 几 次 我 都 要 绝 望 了。 但 是 受 到 上 帝 保 佑， 我 们 都 挺 过 来 了。 现 在 我 得 离 开 你 然 后 去 获 取 我 应 得 的 权 利。 从 现 在 开 始， 我 将 担 负 起 统 治 {s3}的 重 任。 我 们 前 面 还 有 许 多 挑 战 等 着 我 们， 我 还 指 望 你 能 帮 助 我 去 克 服。 当 然， 你 始 终 都 是 我 最 重 要 的 封 臣。 
qstr__We_will_of_course_n|我 们 当 然 得 等 到 国 家 不 再 进 行 战 役 了。 
qstr_I_am_{s4}_the_ruler_|我 是 {s4}， {s6}的 统 治 者。 
qstr_I_am_{s4}_a_vassal_o|我 是 {s4}， {s6}的 一 个 封 臣。 
qstr_{s9}{reg5?_and_the_l|{s9}{reg5?而 且 是 {s8}的 领 主。:。} 
qstr_{s13}_asked_you_to_g|{s13}要 你 收 集 {reg3}头 牛， 并 给 他 送 去。 
qstr_{s9}_asked_you_to_sc|{s9}要 你 侦 察 {s13}， {s14}和 {s15}， 然 后 回 去 向 他 汇 报。 
qstr_you|你 
qstr_You_are_challenging_|你 准 备 向 我 发 起 决 斗？ 开 什 么 玩 笑！ 如 你 所 愿， {playername}， 打 暴 你 的 头 将 会 是 非 常 有 意 思 的 事 情。 
qstr_{s16}_and_{s17}|{s16}和 {s17}
qstr_Very_well_I_will_acc|很 好， 如 果 你 再 次 庄 严 地 向 我 宣 誓， 我 可 以 接 受 你 回 到 我 这 边 来。 
qstr_A_pardon_will_only_b|我 不 会 宽 恕 你 的， 除 非 你 把 {s17}割 让 给 我。 你 同 意 我 开 出 的 条 件 吗？ 
qstr_No._There_is_no_chan|不， 我 们 之 间 没 有 机 会 保 持 和 平， 我 对 这 个 不 感 兴 趣。 
qstr_Our_marshal_{s1}|我 们 的 元 帅， {s1}
qstr_{s11}_and_{s12}|{s11}和 {s12}
qstr_We_are_not_at_war_wi|我 们 没 有 与 任 何 人 交 战。 
qstr_We_are_at_war_with_{|我 们 正 在 与 {s12}交 战。 
qstr_go_on_the_offensive_|马 上 去 进 攻。 
qstr_act_to_defend_our_la|进 行 领 土 保 卫。 
qstr_take_more_time_to_ga|多 花 点 时 间 来 集 结 军 队。 
qstr_You_promised_to_help|你 答 应 帮 助 {s13}取 得 {s14}的 王 位。 
qstr_What_do_you_say_to_e|什 么 你 说 要 投 靠 {s9}当 一 名 雇 佣 军 队 长？ 我 觉 得 毫 无 疑 问 你 将 胜 任 这 个 工 作。 
qstr_{s9}_asked_you_to_ta|{s9}要 你 带 一 个 口 信 给 {s13}。 在 你 接 受 这 个 任 务 的 时 候， {s13}确 信 在 {s4}。 
qstr_{s9}_asked_you_to_tak|{s9}要 你 带 一 个 从 {s15}那 里 得 到 口 信 给 {s13}。 在 你 接 受 这 个 任 务 的 时 候， {s13}确 信 在 {s4}。 
qstr_{s11}_asked_you_to_e|{s11}要 你 护 送 他 的 {s17}{s13}到 {s14}。 
qstr_{s13}_asked_you_to_d|{s13}要 你 对 付 那 些 侵 占 了 {s15}村 避 难 所 的 强 盗， 并 返 回 向 他 报 告 情 况。 
qstr_{s9}_asked_you_to_ra|{s9}要 求 帮 他 培 养 {reg1}名 {s14}， 并 给 他 送 去。 
qstr_{s9}_asked_you_to_co|{s9}要 你 去 {s3}征 税。 他 答 应 你 征 收 的 税 款 中 的 20% 归 你 所 得。 
qstr_{s9}_asked_you_to_hu|{s9}要 你 抓 捕 名 叫 {s4}的 通 缉 犯。 他 现 在 确 信 在 {s3}。 
qstr_{s9}_asked_you_to_as|{s9}要 你 杀 死 一 个 {s3}的 地 方 商 人。 
qstr_{s9}_has_asked_you_t|{s9}要 你 到 {s13}见 一 个 间 谍。 
qstr_{s11}_asked_you_to_f|{s11}要 你 跟 踪 将 要 离 开 {s12}的 间 谍。 你 必 须 小 心， 别 让 他 在 半 路 发 现 你， 否 则 他 可 能 会 起 疑 心 并 折 返 回 去。 一 旦 他 与 他 的 同 伙 碰 头， 你 得 伏 击 他 们 并 把 他 们 两 人 带 回 去 交 给 {s11}。 
qstr_{s11}_asked_you_to_c|{s11}要 你 抓 捕 {s13}的 一 个 领 主， 随 便 一 个。 然 后 带 到 {s11}严 密 监 禁 起 来。 
qstr_{s9}_asked_you_to_le|{s9}要 你 把 你 的 同 伴 {s3}借 给 他 用 一 个 星 期。 
qstr_{s9}_asked_you_to_col|{s9}要 你 帮 他 去 讨 要 {s3}欠 他 的 {reg4}第 纳 尔。 当 你 接 受 这 个 任 务 的 时 候 {s3}正 在 {s4}。 
qstr_{s11}_gave_you_a_fak|{s11}给 你 一 封 伪 造 的 信， 要 你 送 给 {s13}， 以 欺 骗 他 让 他 流 放 他 的 封 臣 {s16}。 你 得 到 {s14}附 近， 并 把 信 交 给 你 的 一 个 {s15}， 然 后 把 他 作 为 一 个 信 使 送 到 城 镇 里 去。 相 信 他 的 命 令 会 变 成 真 的。 
qstr_{s9}_has_requested_y|{s9}要 你 帮 他 抓 捕 {reg1}个 {s3}俘 虏。 
qstr_Lend_your_experience|把 你 的 老 练 的 外 科 医 生 {s3}借 给 {s1}。 
qstr_Then_take_it_with_my|收 下 这 些， 这 些 代 表 我 永 恒 的 谢 意。 你 是 一 个 高 尚 的 {人/人}。 我 永 远 都 不 会 忘 记 你 在 我 最 需 要 的 时 候 帮 助 了 我。 
qstr_Forgive_me_{playerna|原 谅 我， {playername}， 但 是 我 坚 持 让 你 接 受。 这 些 钱 对 我 来 说 算 不 了 什 么， 我 欠 你 的 太 多 了。 给 你， 拿 去 吧， 我 们 不 要 再 谈 这 个 了。 
qstr_{playername}_what_a_|{playername}， 你 是 一 个 多 么 可 爱 的 {人/人}， 但 是 我 不 允 许 你 拒 绝 这 个， 我 欠 你 的 比 我 说 的 还 多， 我 相 信 你 将 把 这 些 钱 比 我 用 在 更 好 的 方 面。 
qstr_{s11}_asked_you_to_r|{s11}要 你 从 {s14}营 救 她 的 {s17}， {s13}。 你 得 跟 他 交 换 衣 服 并 代 替 他 呆 在 监 狱 里。 
qstr_{s11}_asked_you_to_re|{s11}要 你 从 {s14}救 出 她 的 {s17}， {s13}。 
qstr_{s11}_asked_you_to_d|{s11}要 你 送 信 给 被 囚 禁 在 {s14}的 {s13}。 
qstr_You_agreed_to_challe|你 同 意 与 {s13}决 斗 以 维 护 {s11}的 名 誉。 
qstr_{s5}__Persuasion_str|{s5}（ 说 服 力 ： {reg5}） 
qstr_Persuasion_Attempt|尝 试 说 服 
qstr_A_villager_from_{s7}|一 个 从 {s7}来 的 村 民 恳 求 你， 希 望 你 能 把 他 们 的 村 子 从 那 群 强 盗 手 里 解 救 出 来。 
qstr_You_chose_well_{sir/|选 我 们 就 对 了， {先 生/夫 人}。 我 的 伙 计 们 知 道 怎 么 工 作 才 对 得 起 你 付 给 他 们 的 工 资。 
qstr_Well_done_{sir/madam|干 得 好， {先 生/夫 人}。 继 续 给 我 们 带 来 金 钱 和 美 酒， 你 将 不 会 在 这 个 世 界 害 怕 遇 到 敌 人。 
qstr_We_are_at_your_servi|我 们 听 命 于 你， {先 生/夫 人}。 你 所 要 做 的， 仅 仅 是 为 我 们 指 明 攻 击 对 象。 
qstr_The_Guildmaster_of_{|{s13}的 镇 长 要 你 解 决 村 子 周 围 的 劫 匪， 并 把 夺 回 的 货 物 全 部 带 去 给 他。 
qstr_{s9}_of_{s3}_asked_y|{s3}的 {s9}请 你 在 7 天 内 带 {reg5}单 位 的 {s6}到 {s4}的 酒 馆。 
qstr_Escort_the_merchant_|护 送 商 人 的 商 队 去 {s8}镇。 
qstr_Merchant_{s9}_of_{s4|{s4}的 {s9}要 你 消 灭 在 镇 子 附 近 的 难 对 付 的 强 盗。 
qstr_Guildmaster_of_{s4}_|{s4}的 镇 长 给 你 {reg12}第 纳 尔， 作 为 女 孩 的 赎 金。 你 要 在 {s3}附 近 和 强 盗 会 面， 赎 回 女 孩 并 带 回 {s4}。 
