trp_multiplayer_profile_troop_male|联 机 男 性 玩 家 角 色 
trp_divine_engine_division_ming_musketeers|神 机 营 火 枪 手 
trp_divine_engine_division_ming_musketeers_pl|神 机 营 火 枪 手 
trp_divine_engine_division_ming_cavalry|神 机 骑 兵 
trp_divine_engine_division_ming_cavalry_pl|神 机 骑 兵 
trp_ming_archer|明 军 弓 箭 手 
trp_ming_archer_pl|明 军 弓 箭 手 
trp_ming_sanqianying_cavalry|三 千 营 骑 兵 
trp_ming_sanqianying_cavalry_pl|三 千 营 骑 兵 
trp_ming_messenger|Khergit Messenger
trp_ming_messenger_pl|Khergit Messengers
trp_ming_deserter|Khergit Deserter
trp_ming_deserter_pl|Khergit Deserters
trp_ming_prison_guard|监 狱 看 守 
trp_ming_prison_guard_pl|监 狱 看 守 
trp_ming_castle_guard|城 堡 守 卫 
trp_ming_castle_guard_pl|城 堡 守 卫 
trp_england_tribesman|英 格 兰 民 兵 
trp_england_tribesman_pl|英 格 兰 民 兵 
trp_england_skirmisher|英 格 兰 长 弓 民 兵 
trp_england_skirmisher_pl|英 格 兰 长 弓 民 兵 
trp_england_horseman|英 格 兰 轻 骑 兵 
trp_england_horseman_pl|英 格 兰 轻 骑 兵 
trp_england_lancer|英 格 兰 枪 骑 兵 
trp_england_lancer_pl|英 格 兰 枪 骑 兵 
trp_england_lancer_guard|英 格 兰 骑 士 
trp_england_lancer_guard_pl|英 格 兰 骑 士 
trp_england_horse_archer|英 格 兰 火 枪 手 
trp_england_horse_archer_pl|英 格 兰 火 枪 手 
trp_england_veteran_horse_archer|英 格 兰 长 弓 卫 队 
trp_england_veteran_horse_archer_pl|英 格 兰 长 弓 卫 队 
trp_england_footman|英 格 兰 步 兵 
trp_england_footman_pl|英 格 兰 步 兵 
trp_england_infantry|英 格 兰 重 步 兵 
trp_england_infantry_pl|英 格 兰 重 步 兵 
trp_england_sergeant|英 格 兰 剑 士 
trp_england_sergeant_pl|英 格 兰 剑 士 
trp_england_crossbowman|英 格 兰 重 装 钩 镰 兵 
trp_england_crossbowman_pl|英 格 兰 重 装 钩 镰 兵 
trp_england_sharpshooter|英 格 兰 长 枪 兵 
trp_england_sharpshooter_pl|英 格 兰 长 枪 兵 
trp_england_pikeman1|英 格 兰 重 装 长 枪 兵 
trp_england_pikeman1_pl|英 格 兰 重 装 长 枪 兵 
trp_england_messenger|Khergit Messenger{***}
trp_england_messenger_pl|Khergit Messengers{***}
trp_england_deserter|Khergit Deserter{***}
trp_england_deserter_pl|Khergit Deserters{***}
trp_england_prison_guard|监 狱 看 守 
trp_england_prison_guard_pl|监 狱 看 守 
trp_england_castle_guard|城 堡 守 卫 
trp_england_castle_guard_pl|城 堡 守 卫 
trp_spain_tribesman|西 班 牙 民 兵 
trp_spain_tribesman_pl|西 班 牙 民 兵 
trp_spain_skirmisher|西 班 牙 民 兵 火 枪 手 
trp_spain_skirmisher_pl|西 班 牙 民 兵 火 枪 手 
trp_spain_horseman|西 班 牙 突 袭 骑 兵 
trp_spain_horseman_pl|西 班 牙 突 袭 骑 兵 
trp_spain_lancer|西 班 牙 征 服 者 骑 兵 
trp_spain_lancer_pl|西 班 牙 征 服 者 骑 兵 
trp_spain_lancer_guard|西 班 牙 重 骑 兵 
trp_spain_lancer_guard_pl|西 班 牙 重 骑 兵 
trp_spain_horse_archer|西 班 牙 火 枪 手 
trp_spain_horse_archer_pl|西 班 牙 火 枪 手 
trp_spain_veteran_horse_archer|西 班 牙 重 弩 兵 
trp_spain_veteran_horse_archer_pl|西 班 牙 重 弩 兵 
trp_spain_footman|西 班 牙 步 兵 
trp_spain_footman_pl|西 班 牙 步 兵 
trp_spain_infantry|西 班 牙 重 步 兵 
trp_spain_infantry_pl|西 班 牙 重 步 兵 
trp_spain_sergeant|西 班 牙 剑 士 
trp_spain_sergeant_pl|西 班 牙 剑 士 
trp_spain_sharpshooter|西 班 牙 长 枪 兵 
trp_spain_sharpshooter_pl|西 班 牙 长 枪 兵 
trp_spain_pikeman1|西 班 牙 重 装 长 枪 兵 
trp_spain_pikeman1_pl|西 班 牙 重 装 长 枪 兵 
trp_spain_messenger|Khergit Messenger{***}
trp_spain_messenger_pl|Khergit Messengers{***}
trp_spain_deserter|Khergit Deserter{***}
trp_spain_deserter_pl|Khergit Deserters{***}
trp_spain_prison_guard|监 狱 看 守 
trp_spain_prison_guard_pl|监 狱 看 守 
trp_spain_castle_guard|城 堡 守 卫 
trp_spain_castle_guard_pl|城 堡 守 卫 
trp_mongol_tribesman|蒙 古 牧 民 
trp_mongol_tribesman_pl|蒙 古 牧 民 
trp_mongol_skirmisher|部 落 弓 骑 兵 
trp_mongol_skirmisher_pl|部 落 弓 骑 兵 
trp_mongol_horseman|蒙 古 骑 兵 
trp_mongol_horseman_pl|蒙 古 骑 兵 
trp_mongol_lancer|蒙 古 枪 骑 兵 
trp_mongol_lancer_pl|蒙 古 枪 骑 兵 
trp_mongol_lancer_guard|蒙 古 可 汗 卫 士 
trp_mongol_lancer_guard_pl|蒙 古 可 汗 卫 士 
trp_mongol_veteran_horse_archer|蒙 古 弓 骑 兵 
trp_mongol_veteran_horse_archer_pl|蒙 古 弓 骑 兵 
trp_mongol_heavy_horse_archer|蒙 古 重 装 弓 骑 兵 
trp_mongol_heavy_horse_archer_pl|蒙 古 重 装 弓 骑 兵 
trp_mongol_messenger|Khergit Messenger{***}
trp_mongol_messenger_pl|Khergit Messengers{***}
trp_mongol_deserter|Khergit Deserter{***}
trp_mongol_deserter_pl|Khergit Deserters{***}
trp_mongol_prison_guard|监 狱 看 守 
trp_mongol_prison_guard_pl|监 狱 看 守 
trp_mongol_castle_guard|城 堡 守 卫 
trp_mongol_castle_guard_pl|城 堡 守 卫 
trp_japan_tribesman|应 征 农 夫 
trp_japan_tribesman_pl|应 征 农 夫 
trp_japan_skirmisher|弓 足 轻 
trp_japan_skirmisher_pl|弓 足 轻 
trp_japan_horseman|长 枪 足 轻 
trp_japan_horseman_pl|长 枪 足 轻 
trp_japan_lancer|枪 骑 武 士 
trp_japan_lancer_pl|枪 骑 武 士 
trp_japan_lancer_guard|旗 本 众 
trp_japan_lancer_guard_pl|旗 本 众 
trp_japan_footman|佩 刀 武 士 
trp_japan_footman_pl|佩 刀 武 士 
trp_japan_crossbowman|长 弓 武 士 
trp_japan_crossbowman_pl|长 弓 武 士 
trp_japan_sharpshooter|铁 炮 足 轻 
trp_japan_sharpshooter_pl|铁 炮 足 轻 
trp_japan_crossbowman1|铁 炮 武 士 
trp_japan_crossbowman1_pl|铁 炮 武 士 
trp_japan_ninja|忍 者 
trp_japan_ninja_pl|忍 者 
trp_japan_messenger|Khergit Messenger{***}
trp_japan_messenger_pl|Khergit Messengers{***}
trp_japan_deserter|Khergit Deserter{***}
trp_japan_deserter_pl|Khergit Deserters{***}
trp_japan_prison_guard|监 狱 看 守 
trp_japan_prison_guard_pl|监 狱 看 守 
trp_japan_castle_guard|城 堡 守 卫 
trp_japan_castle_guard_pl|城 堡 守 卫 
trp_safavid_tribesman|波 斯 农 民 
trp_safavid_tribesman_pl|波 斯 农 民 
trp_safavid_skirmisher|波 斯 弓 箭 手 
trp_safavid_skirmisher_pl|波 斯 弓 箭 手 
trp_safavid_horseman|萨 菲 民 兵 
trp_safavid_horseman_pl|萨 菲 民 兵 
trp_safavid_lancer|萨 菲 轻 骑 兵 
trp_safavid_lancer_pl|萨 菲 轻 骑 兵 
trp_safavid_lancer_guard|萨 菲 枪 骑 兵 
trp_safavid_lancer_guard_pl|萨 菲 枪 骑 兵 
trp_safavid_horse_archer|萨 菲 弓 骑 兵 
trp_safavid_horse_archer_pl|萨 菲 弓 骑 兵 
trp_safavid_infantry|萨 菲 步 兵 
trp_safavid_infantry_pl|萨 菲 步 兵 
trp_safavid_sergeant|萨 菲 重 步 兵 
trp_safavid_sergeant_pl|萨 菲 重 步 兵 
trp_safavid_messenger|Khergit Messenger{***}
trp_safavid_messenger_pl|Khergit Messengers{***}
trp_safavid_deserter|Khergit Deserter{***}
trp_safavid_deserter_pl|Khergit Deserters{***}
trp_safavid_prison_guard|监 狱 看 守 
trp_safavid_prison_guard_pl|监 狱 看 守 
trp_safavid_castle_guard|城 堡 守 卫 
trp_safavid_castle_guard_pl|城 堡 守 卫 
trp_poland_lithuania_tribesman|波 兰 农 民 
trp_poland_lithuania_tribesman_pl|波 兰 农 民 
trp_poland_lithuania_skirmisher|波 兰 民 兵 
trp_poland_lithuania_skirmisher_pl|波 兰 民 兵 
trp_poland_lithuania_horseman|哥 萨 克 步 兵 
trp_poland_lithuania_horseman_pl|哥 萨 克 步 兵 
trp_poland_lithuania_lancer|立 陶 宛 骑 兵 
trp_poland_lithuania_lancer_pl|立 陶 宛 骑 兵 
trp_poland_lithuania_lancer_guard|翼 骑 兵 
trp_poland_lithuania_lancer_guard_pl|翼 骑 兵 
trp_poland_lithuania_horse_archer|波 兰 弓 箭 手 
trp_poland_lithuania_horse_archer_pl|波 兰 弓 箭 手 
trp_poland_lithuania_veteran_horse_archer|哥 萨 克 弓 骑 兵 
trp_poland_lithuania_veteran_horse_archer_pl|哥 萨 克 弓 骑 兵 
trp_poland_lithuania_footman|波 兰 步 兵 
trp_poland_lithuania_footman_pl|波 兰 步 兵 
trp_poland_lithuania_infantry|立 陶 宛 重 步 兵 
trp_poland_lithuania_infantry_pl|立 陶 宛 重 步 兵 
trp_poland_lithuania_sergeant|步 行 翼 骑 兵 
trp_poland_lithuania_sergeant_pl|步 行 翼 骑 兵 
trp_poland_lithuania_crossbowman|哥 萨 克 枪 骑 兵 
trp_poland_lithuania_crossbowman_pl|哥 萨 克 枪 骑 兵 
trp_poland_lithuania_sharpshooter|波 兰 火 枪 手 
trp_poland_lithuania_sharpshooter_pl|波 兰 火 枪 手 
trp_poland_lithuania_messenger|Khergit Messenger{***}
trp_poland_lithuania_messenger_pl|Khergit Messengers{***}
trp_poland_lithuania_deserter|Khergit Deserter{***}
trp_poland_lithuania_deserter_pl|Khergit Deserters{***}
trp_poland_lithuania_prison_guard|监 狱 看 守 
trp_poland_lithuania_prison_guard_pl|监 狱 看 守 
trp_poland_lithuania_castle_guard|城 堡 守 卫 
trp_poland_lithuania_castle_guard_pl|城 堡 守 卫 
trp_africa_tribesman|北 非 平 民 
trp_africa_tribesman_pl|北 非 平 民 
trp_africa_skirmisher|穆 斯 林 火 枪 手 
trp_africa_skirmisher_pl|穆 斯 林 火 枪 手 
trp_africa_horseman|北 非 民 兵 
trp_africa_horseman_pl|北 非 民 兵 
trp_africa_lancer|北 非 骑 兵 
trp_africa_lancer_pl|北 非 骑 兵 
trp_africa_lancer_guard|阿 拉 伯 枪 骑 兵 
trp_africa_lancer_guard_pl|阿 拉 伯 枪 骑 兵 
trp_africa_horse_archer|火 枪 骆 驼 骑 兵 
trp_africa_horse_archer_pl|火 枪 骆 驼 骑 兵 
trp_africa_infantry|穆 斯 林 步 兵 
trp_africa_infantry_pl|穆 斯 林 步 兵 
trp_africa_sergeant|突 尼 斯 重 步 兵 
trp_africa_sergeant_pl|突 尼 斯 重 步 兵 
trp_africa_messenger|Khergit Messenger{***}
trp_africa_messenger_pl|Khergit Messengers{***}
trp_africa_deserter|Khergit Deserter{***}
trp_africa_deserter_pl|Khergit Deserters{***}
trp_africa_prison_guard|监 狱 看 守 
trp_africa_prison_guard_pl|监 狱 看 守 
trp_africa_castle_guard|城 堡 守 卫 
trp_africa_castle_guard_pl|城 堡 守 卫 
trp_aitribeman|印 第 安 族 人 
trp_aitribeman_pl|印 第 安 族 人 
trp_aihunter|印 第 安 猎 人 
trp_aihunter_pl|印 第 安 猎 人 
trp_aifootman|野 兔 步 兵 
trp_aifootman_pl|野 兔 步 兵 
trp_aihorseman|阿 帕 奇 骑 兵 
trp_aihorseman_pl|阿 帕 奇 骑 兵 
trp_aiinfantry|印 第 安 突 袭 步 兵 
trp_aiinfantry_pl|印 第 安 突 袭 步 兵 
trp_ai_sergeant|酋 长 卫 士 
trp_ai_sergeant_pl|酋 长 卫 士 
trp_ai_prison_guard|监 狱 看 守 
trp_ai_prison_guard_pl|监 狱 看 守 
trp_ai_castle_guard|城 堡 守 卫 
trp_ai_castle_guard_pl|城 堡 守 卫 
trp_pol_tribesman|葡 萄 牙 民 兵 
trp_pol_tribesman_pl|葡 萄 牙 民 兵 
trp_pol_skirmisher|葡 萄 牙 长 枪 民 兵 
trp_pol_skirmisher_pl|葡 萄 牙 长 枪 民 兵 
trp_pol_horseman|葡 萄 牙 长 枪 兵 
trp_pol_horseman_pl|葡 萄 牙 长 枪 兵 
trp_pol_lancer|葡 萄 牙 征 服 者 骑 兵 
trp_pol_lancer_pl|葡 萄 牙 征 服 者 骑 兵 
trp_pol_gunner|葡 萄 牙 精 锐 火 枪 手 
trp_pol_gunner_pl|葡 萄 牙 精 锐 火 枪 手 
trp_pol_infantry|葡 萄 牙 民 兵 剑 士 
trp_pol_infantry_pl|葡 萄 牙 民 兵 剑 士 
trp_pol_sergeant|葡 萄 牙 圆 盾 剑 士 
trp_pol_sergeant_pl|葡 萄 牙 圆 盾 剑 士 
trp_pol_raider_horseman|葡 萄 牙 突 袭 骑 兵 
trp_pol_raider_horseman_pl|葡 萄 牙 突 袭 骑 兵 
trp_pol_musketeer_militia|葡 萄 牙 火 枪 民 兵 
trp_pol_musketeer_militia_pl|葡 萄 牙 火 枪 民 兵 
trp_pol_swordsman|葡 萄 牙 剑 士 
trp_pol_swordsman_pl|葡 萄 牙 剑 士 
trp_pol_prison_guard|监 狱 看 守 
trp_pol_prison_guard_pl|监 狱 看 守 
trp_pol_castle_guard|城 堡 守 卫 
trp_pol_castle_guard_pl|城 堡 守 卫 
trp_deli_tribesman|印 度 民 兵 
trp_deli_tribesman_pl|印 度 民 兵 
trp_deli_skirmisher|德 里 弓 箭 手 
trp_deli_skirmisher_pl|德 里 弓 箭 手 
trp_deli_militia|阿 富 汗 步 兵 
trp_deli_militia_pl|阿 富 汗 步 兵 
trp_deli_lancer_guard|德 里 王 家 骑 兵 
trp_deli_lancer_guard_pl|德 里 王 家 骑 兵 
trp_deli_horse_archer|巴 基 斯 坦 弓 骑 兵 
trp_deli_horse_archer_pl|巴 基 斯 坦 弓 骑 兵 
trp_deli_sergeant|都 市 重 步 兵 
trp_deli_sergeant_pl|都 市 重 步 兵 
trp_deli_prison_guard|监 狱 看 守 
trp_deli_prison_guard_pl|监 狱 看 守 
trp_deli_castle_guard|城 堡 守 卫 
trp_deli_castle_guard_pl|城 堡 守 卫 
trp_se_farmer|南 方 武 装 平 民 
trp_se_farmer_pl|南 方 武 装 平 民 
trp_se_skirmisher|真 腊 轻 步 兵 
trp_se_skirmisher_pl|真 腊 轻 步 兵 
trp_se_archer|东 吁 弓 手 
trp_se_archer_pl|东 吁 弓 手 
trp_se_lancer_guard|大 城 骑 兵 
trp_se_lancer_guard_pl|大 城 骑 兵 
trp_se_sergeant|高 棉 步 兵 
trp_se_sergeant_pl|高 棉 步 兵 
trp_se_archer11|黎 朝 重 步 兵 
trp_se_archer11_pl|黎 朝 重 步 兵 
trp_se_prison_guard|监 狱 看 守 
trp_se_prison_guard_pl|监 狱 看 守 
trp_se_castle_guard|城 堡 守 卫 
trp_se_castle_guard_pl|城 堡 守 卫 
trp_korea_tribesman|乡 野 民 兵 
trp_korea_tribesman_pl|乡 野 民 兵 
trp_korea_skirmisher|朝 鲜 弓 箭 手 
trp_korea_skirmisher_pl|朝 鲜 弓 箭 手 
trp_korea_horseman|朝 鲜 步 兵 
trp_korea_horseman_pl|朝 鲜 步 兵 
trp_korea_lancer|朝 鲜 重 骑 兵 
trp_korea_lancer_pl|朝 鲜 重 骑 兵 
trp_korea_infantry|朝 鲜 重 步 兵 
trp_korea_infantry_pl|朝 鲜 重 步 兵 
trp_korea_sergeant|朝 鲜 刀 盾 兵 
trp_korea_sergeant_pl|朝 鲜 刀 盾 兵 
trp_korea_prison_guard|监 狱 看 守 
trp_korea_prison_guard_pl|监 狱 看 守 
trp_korea_castle_guard|城 堡 守 卫 
trp_korea_castle_guard_pl|城 堡 守 卫 
trp_nvzhen_tribesman|女 真 厮 役 
trp_nvzhen_tribesman_pl|女 真 厮 役 
trp_nvzhen_jumazu|女 真 拒 马 卒 
trp_nvzhen_jumazu_pl|女 真 拒 马 卒 
trp_nvzhen_sizu|女 真 厮 卒 
trp_nvzhen_sizu_pl|女 真 厮 卒 
trp_nvzhen_skirmisher|女 真 行 营 兵
trp_nvzhen_skirmisher_pl|女 真 行 营 兵
trp_nvzhen_lancer|女 真 护 军
trp_nvzhen_lancer_pl|女 真 护 军
trp_nvzhen_sergeant|女 真 重 甲 陷 阵 兵 
trp_nvzhen_sergeant_pl|女 真 重 甲 陷 阵 兵 
trp_nvzhen_qingjiabushe|女 真 轻 甲 步 射 手
trp_nvzhen_qingjiabushe_pl|女 真 轻 甲 步 射 手
trp_nvzhen_horse_archer|女 真 白 甲 护 军 
trp_nvzhen_horse_archer_pl|女 真 白 甲 护 军 
trp_nvzhen_horse_archer_red|女 真 红 甲 护 军 
trp_nvzhen_horse_archer_red_pl|女 真 红 甲 护 军 
trp_nvzhen_duduhuweihuoqiang|建 州 都 督 火 铳 护 卫 
trp_nvzhen_duduhuweihuoqiang_pl|建 州 都 督 火 铳 护 卫 
trp_nvzhen_duduhuwei|建 州 都 督 亲 卫 护 军 
trp_nvzhen_duduhuwei_pl|建 州 都 督 亲 卫 护 军 
trp_nvzhen_prison_guard|监 狱 看 守 
trp_nvzhen_prison_guard_pl|监 狱 看 守 
trp_nvzhen_castle_guard|城 堡 守 卫 
trp_nvzhen_castle_guard_pl|城 堡 守 卫 
trp_kazakh_tribesman|哈 萨 克 族 人 
trp_kazakh_tribesman_pl|哈 萨 克 族 人 
trp_kazakh_lancer|哈 萨 克 部 落 骑 兵 
trp_kazakh_lancer_pl|哈 萨 克 部 落 骑 兵 
trp_kazakh_lancer_guard|哈 萨 克 弓 骑 兵 
trp_kazakh_lancer_guard_pl|哈 萨 克 弓 骑 兵 
trp_kazakh_horse_archer|哈 萨 克 可 汗 卫 士 
trp_kazakh_horse_archer_pl|哈 萨 克 可 汗 卫 士 
trp_kazakh_prison_guard|监 狱 看 守 
trp_kazakh_prison_guard_pl|监 狱 看 守 
trp_kazakh_castle_guard|城 堡 守 卫 
trp_kazakh_castle_guard_pl|城 堡 守 卫 
trp_crimia_horseman|克 里 木 部 落 骑 兵 
trp_crimia_horseman_pl|克 里 木 部 落 骑 兵 
trp_crimea_lancer|克 里 木 可 汗 骑 兵 
trp_crimea_lancer_pl|克 里 木 可 汗 骑 兵 
trp_crimia_horse_archer|克 里 木 弓 骑 兵 
trp_crimia_horse_archer_pl|克 里 木 弓 骑 兵 
trp_crimia_infantry|克 里 木 掠 夺 者 
trp_crimia_infantry_pl|克 里 木 掠 夺 者 
trp_crimia_lighthorseman|克 里 木 轻 骑 兵 
trp_crimia_prison_guard|监 狱 看 守 
trp_crimia_prison_guard_pl|监 狱 看 守 
trp_crimia_castle_guard|城 堡 守 卫 
trp_crimia_castle_guard_pl|城 堡 守 卫 
trp_mamalik_recruit|阿 拉 伯 民 兵 
trp_mamalik_recruit_pl|阿 拉 伯 民 兵 
trp_mamalik_footman|阿 拉 伯 步 兵 
trp_mamalik_footman_pl|阿 拉 伯 步 兵 
trp_mamalik_horsearcher|哈 尔 喀 弓 骑 兵 
trp_mamalik_horsearcher_pl|哈 尔 喀 弓 骑 兵 
trp_mamalik_guard|马 穆 鲁 克 王 朝 重 步 兵 
trp_mamalik_guard_pl|马 穆 鲁 克 王 朝 重 步 兵 
trp_mamalik_shooter|海 军 弩 手 
trp_mamalik_shooter_pl|海 军 弩 手 
trp_mamalik_skirmisher|阿 拉 伯 弓 箭 手 
trp_mamalik_skirmisher_pl|阿 拉 伯 弓 箭 手 
trp_sarranid_mamluke1|马 穆 鲁 克 
trp_sarranid_mamluke1_pl|马 穆 鲁 克 
trp_sarranid_bedouin|阿 拉 伯 骑 兵 
trp_sarranid_bedouin_pl|阿 拉 伯 骑 兵 
trp_mamalik_prison_guard|监 狱 看 守 
trp_mamalik_prison_guard_pl|监 狱 看 守 
trp_mamalik_castle_guard|城 堡 守 卫 
trp_mamalik_castle_guard_pl|城 堡 守 卫 
trp_scottish_tribesman|苏 格 兰 民 团 步 兵 
trp_scottish_tribesman_pl|苏 格 兰 民 团 步 兵 
trp_scottish_skirmisher|苏 格 兰 长 枪 民 兵 
trp_scottish_skirmisher_pl|苏 格 兰 长 枪 民 兵 
trp_scottish_swordman|苏 格 兰 佣 兵 剑 士 
trp_scottish_swordman_pl|苏 格 兰 佣 兵 剑 士 
trp_scottish_lancer|边 境 骑 兵 
trp_scottish_lancer_pl|边 境 骑 兵 
trp_scottish_knight|苏 格 兰 贵 族 骑 士 
trp_scottish_knight_pl|苏 格 兰 贵 族 骑 士 
trp_scottish_gunner|苏 格 兰 火 枪 手 
trp_scottish_gunner_pl|苏 格 兰 火 枪 手 
trp_scottish_archer|高 地 弓 箭 手 
trp_scottish_archer_pl|高 地 弓 箭 手 
trp_scottish_sergeant|高 地 贵 族 剑 士 
trp_scottish_sergeant_pl|高 地 贵 族 剑 士 
trp_scottish_prison_guard|监 狱 看 守 
trp_scottish_prison_guard_pl|监 狱 看 守 
trp_scottish_castle_guard|城 堡 守 卫 
trp_scottish_castle_guard_pl|城 堡 守 卫 
trp_aztec_tribesman|阿 兹 特 克 族 人 
trp_aztec_tribesman_pl|阿 兹 特 克 族 人 
trp_aztec_skirmisher|狂 战 士 
trp_aztec_skirmisher_pl|狂 战 士 
trp_aztec_jaguar|阿 兹 特 克 猛 虎 战 士 
trp_aztec_jaguar_pl|阿 兹 特 克 猛 虎 战 士 
trp_aztec_warrior|雄 鹰 斗 士 
trp_aztec_warrior_pl|雄 鹰 斗 士 
trp_aztec_archer|阿 兹 特 克 弓 箭 手 
trp_aztec_archer_pl|阿 兹 特 克 弓 箭 手 
trp_aztec_gurad|土 狼 祭 司 
trp_aztec_gurad_pl|土 狼 祭 司 
trp_aztec_prison_guard|监 狱 看 守 
trp_aztec_prison_guard_pl|监 狱 看 守 
trp_aztec_castle_guard|城 堡 守 卫 
trp_aztec_castle_guard_pl|城 堡 守 卫 
trp_maya_tribesman|玛 雅 族 人 
trp_maya_tribesman_pl|玛 雅 族 人 
trp_maya_skirmisher|玛 雅 掷 矛 手 
trp_maya_skirmisher_pl|玛 雅 掷 矛 手 
trp_maya_jaguar|玛 雅 猛 虎 战 士 
trp_maya_jaguar_pl|玛 雅 猛 虎 战 士 
trp_maya_warrior|神 庙 卫 士 
trp_maya_warrior_pl|神 庙 卫 士 
trp_maya_archer|玛 雅 弓 箭 手 
trp_maya_archer_pl|玛 雅 弓 箭 手 
trp_maya_prison_guard|监 狱 看 守 
trp_maya_prison_guard_pl|监 狱 看 守 
trp_maya_castle_guard|城 堡 守 卫 
trp_maya_castle_guard_pl|城 堡 守 卫 
trp_livonia_tribesman|利 窝 利 亚 民 兵 
trp_livonia_tribesman_pl|利 窝 利 亚 民 兵 
trp_livonia_skirmisher|利 窝 利 亚 长 枪 兵 
trp_livonia_skirmisher_pl|利 窝 利 亚 长 枪 兵 
trp_livonia_lancer|条 顿 骑 士 
trp_livonia_lancer_pl|条 顿 骑 士 
trp_livonia_sergeant|利 窝 利 亚 步 行 骑 士 
trp_livonia_sergeant_pl|利 窝 利 亚 步 行 骑 士 
trp_livonia_prison_guard|监 狱 看 守 
trp_livonia_prison_guard_pl|监 狱 看 守 
trp_livonia_castle_guard|城 堡 守 卫 
trp_livonia_castle_guard_pl|城 堡 守 卫 
trp_hospital_tribesman|意 大 利 水 手 
trp_hospital_tribesman_pl|意 大 利 水 手 
trp_hospital_skirmisher|圣 约 翰 骑 士 团 长 枪 兵 
trp_hospital_skirmisher_pl|圣 约 翰 骑 士 团 长 枪 兵 
trp_hospital_lancer|圣 约 翰 骑 士 
trp_hospital_lancer_pl|圣 约 翰 骑 士 
trp_hospital_sergeant|圣 约 翰 步 行 骑 士 
trp_hospital_sergeant_pl|圣 约 翰 步 行 骑 士 
trp_hospital_monk|武 装 僧 侣 
trp_hospital_monk_pl|武 装 僧 侣 
trp_hospital_prison_guard|监 狱 看 守 
trp_hospital_prison_guard_pl|监 狱 看 守 
trp_hospital_castle_guard|城 堡 守 卫 
trp_hospital_castle_guard_pl|城 堡 守 卫 
trp_sh_recruit|部 落 民 
trp_sh_recruit_pl|部 落 民 
trp_sh_footman|部 落 长 矛 勇 士 
trp_sh_footman_pl|部 落 长 矛 勇 士 
trp_sh_veteran_footman|桑 海 勇 士 
trp_sh_veteran_footman_pl|桑 海 勇 士 
trp_sh_skirmisher|沙 漠 射 手 
trp_sh_skirmisher_pl|沙 漠 射 手 
trp_sh_archer|撒 哈 拉 弓 骑 兵 
trp_sh_archer_pl|撒 哈 拉 弓 骑 兵 
trp_sh_light_horseman|沙 漠 骑 兵 
trp_sh_light_horseman_pl|沙 漠 骑 兵 
trp_sh_mamluke|桑 海 重 骑 兵 
trp_sh_mamluke_pl|桑 海 重 骑 兵 
trp_sh_prison_guard|监 狱 看 守 
trp_sh_prison_guard_pl|监 狱 看 守 
trp_sh_castle_guard|城 堡 守 卫 
trp_sh_castle_guard_pl|城 堡 守 卫 
trp_incan_recruit|印 加 族 人  
trp_incan_recruit_pl|印 加 族 人  
trp_incan_footman|印 加 矛 兵 
trp_incan_footman_pl|印 加 矛 兵 
trp_incan_nobleman|印 加 贵 族 
trp_incan_nobleman_pl|印 加 贵 族 
trp_incan_h_footman|印 加 步 兵 
trp_incan_h_footman_pl|印 加 步 兵 
trp_incan_skirmisher|印 加 弓 箭 手 
trp_incan_skirmisher_pl|印 加 弓 箭 手 
trp_incan_prison_guard|监 狱 看 守 
trp_incan_prison_guard_pl|监 狱 看 守 
trp_incan_castle_guard|城 堡 守 卫 
trp_incan_castle_guard_pl|城 堡 守 卫 
trp_saf_recruit|非 洲 土 著 民 
trp_saf_recruit_pl|非 洲 土 著 民 
trp_saf_spearman|土 著 矛 兵 
trp_saf_spearman_pl|土 著 矛 兵 
trp_saf_footman|非 洲 步 兵 
trp_saf_footman_pl|非 洲 步 兵 
trp_saf_skirmisher|土 著 弓 手 
trp_saf_skirmisher_pl|土 著 弓 手 
trp_saf_prison_guard|监 狱 看 守 
trp_saf_prison_guard_pl|监 狱 看 守 
trp_saf_castle_guard|城 堡 守 卫 
trp_saf_castle_guard_pl|城 堡 守 卫 
trp_soa_recruit|阿 拉 伯 地 方 民 兵 
trp_soa_recruit_pl|阿 拉 伯 地 方 民 兵 
trp_soa_spearman|阿 拉 伯 矛 手 
trp_soa_spearman_pl|阿 拉 伯 矛 手 
trp_soa_footman|阿 拉 伯 步 兵 
trp_soa_footman_pl|阿 拉 伯 步 兵 
trp_soa_guard|阿 拉 伯 重 步 兵 
trp_soa_guard_pl|阿 拉 伯 重 步 兵 
trp_soa_skirmisher|沙 漠 弓 手 
trp_soa_skirmisher_pl|沙 漠 弓 手 
trp_soa_horsearcher|阿 拉 伯 弓 骑 兵 
trp_soa_horsearcher_pl|阿 拉 伯 弓 骑 兵 
trp_soa_horseman|阿 拉 伯 轻 骑 兵 
trp_soa_horseman_pl|阿 拉 伯 轻 骑 兵 
trp_soa_lancer|阿 拉 伯 枪 骑 兵 
trp_soa_lancer_pl|阿 拉 伯 枪 骑 兵 
trp_soa_prison_guard|监 狱 看 守 
trp_soa_prison_guard_pl|监 狱 看 守 
trp_soa_castle_guard|城 堡 守 卫 
trp_soa_castle_guard_pl|城 堡 守 卫 
trp_looter|劫 匪 
trp_looter_pl|劫 匪 
trp_bandit|强 盗 
trp_bandit_pl|强 盗 
trp_brigand|土 匪 
trp_brigand_pl|土 匪 
