itm_no_item|INVALID ITEM 
itm_nomad_vest_pl|游 牧 背 心 
itm_ragged_outfit|褶 皱 服 
itm_ragged_outfit_pl|褶 皱 服 
itm_padded_leather|棉 衬 皮 衣 
itm_padded_leather_pl|棉 衬 皮 衣 
itm_tribal_warrior_outfit|部 落 勇 士 服 
itm_tribal_warrior_outfit_pl|部 落 勇 士 服 
itm_nomad_robe|游 牧 袍 
itm_nomad_robe_pl|游 牧 袍 
itm_studded_leather_coat|钉 饰 皮 外 套 
itm_studded_leather_coat_pl|钉 饰 皮 外 套 
itm_byrnie|链 铠 
itm_byrnie_pl|链 铠 
itm_haubergeon|短 链 甲 
itm_haubergeon_pl|短 链 甲 
itm_lamellar_vest|鳞 甲 背 心 
itm_lamellar_vest_pl|鳞 甲 背 心 
itm_lamellar_vest_khergit|库 吉 特 鳞 甲 背 心 
itm_lamellar_vest_khergit_pl|库 吉 特 鳞 甲 背 心 
itm_mail_shirt|链 甲 衫 
itm_mail_shirt_pl|链 甲 衫 
itm_mail_hauberk|长 摆 链 甲 
itm_mail_hauberk_pl|长 摆 链 甲 
itm_mail_with_surcoat|链 甲 带 罩 衫 
itm_mail_with_surcoat_pl|链 甲 带 罩 衫 
itm_surcoat_over_mail|带 罩 衫 链 甲 
itm_surcoat_over_mail_pl|带 罩 衫 链 甲 
itm_brigandine_red|锁 子 铠 
itm_brigandine_red_pl|锁 子 铠 
itm_lamellar_armor|鳞 片 甲 
itm_lamellar_armor_pl|鳞 片 甲 
itm_scale_armor|鱼 鳞 甲 
itm_scale_armor_pl|鱼 鳞 甲 
itm_banded_armor|条 纹 甲 
itm_banded_armor_pl|条 纹 甲 
itm_cuir_bouilli|硬 皮 甲 
itm_cuir_bouilli_pl|硬 皮 甲 
itm_coat_of_plates|无 袖 板 甲 
itm_coat_of_plates_pl|无 袖 板 甲 
itm_coat_of_plates_red|无 袖 板 甲 
itm_coat_of_plates_red_pl|无 袖 板 甲 
itm_plate_armor|全 身 板 甲 
itm_plate_armor_pl|全 身 板 甲 
itm_black_armor|黑 甲 
itm_black_armor_pl|黑 甲 
itm_pelt_coat|毛 皮 外 套 
itm_pelt_coat_pl|毛 皮 外 套 
itm_khergit_elite_armor|库 吉 特 精 锐 甲 
itm_khergit_elite_armor_pl|库 吉 特 精 锐 甲 
itm_vaegir_elite_armor|维 吉 亚 精 锐 甲 
itm_vaegir_elite_armor_pl|维 吉 亚 精 锐 甲 
itm_sarranid_elite_armor|萨 兰 德 精 锐 甲 
itm_sarranid_elite_armor_pl|萨 兰 德 精 锐 甲 
itm_volencia_mail_shirt|瓦 伦 西 亚 衣
itm_volencia_mail_shirt_pl|瓦 伦 西 亚 衣
itm_volencia_red_plate_armor|瓦 伦 西 亚 铠 甲
itm_volencia_red_plate_armor_pl|瓦 伦 西 亚 铠 甲
itm_volencia_king_armor|瓦 伦 西 亚 王 者 铠 甲
itm_volencia_king_armor_pl|瓦 伦 西 亚 王 者 铠 甲
itm_surcoat_over_mail_vol|瓦 伦 西 亚 罩 袍 链 甲
itm_surcoat_over_mail_vol_pl|瓦 伦 西 亚 罩 袍 链 甲
itm_volencia_mail_and_plate|瓦 伦 西 亚 罩 袍 链 甲
itm_volencia_mail_and_plate_pl|瓦 伦 西 亚 罩 袍 链 甲
itm_half_plate_armor|半 胸 甲
itm_half_plate_armor_pl|半 胸 甲
itm_blue_plate_armor|板 甲
itm_blue_plate_armor_pl|板 甲
itm_blue_normal_surcoat_a|板 链 复 合 甲
itm_blue_normal_surcoat_a_pl|板 链 复 合 甲
itm_armour_slashed_blue|蓝 色 4/3 板 甲
itm_armour_slashed_blue_pl|蓝 色 4/3 板 甲
itm_corrazina_blue|板 链 复 合 甲
itm_corrazina_blue_pl|板 链 复 合 甲
itm_gambeson_blue|蓝 色 软 铠 甲
itm_gambeson_blue_pl|蓝 色 软 铠 甲
itm_breastplate_blue|蓝 色 护 胸 甲
itm_breastplate_blue_pl|蓝 色 护 胸 甲
itm_brigandine_blue|加 衬 锁 子 甲
itm_brigandine_blue_pl|加 衬 锁 子 甲
itm_han_fu|汉 服 
itm_han_fu_pl|汉 服 
itm_han_fu_b|汉 服 
itm_han_fu_b_pl|汉 服 
itm_song_tunic_a|东 方 战 袍
itm_song_tunic_a_pl|东 方 战 袍
itm_song_tunic_b|东 方 战 袍
itm_song_tunic_b_pl|东 方 战 袍
itm_song_tunic_c|东 方 罩 甲
itm_song_tunic_c_pl|东 方 罩 甲
itm_song_tunic_d|东 方 罩 甲
itm_song_tunic_d_pl|东 方 罩 甲
itm_song_tunic_e|东 方 短 罩 甲
itm_song_tunic_e_pl|东 方 短 罩 甲
itm_song_tunic_f|东 方 短 罩 甲
itm_song_tunic_f_pl|东 方 短 罩 甲
itm_song_min_lamellar_a|东 方 短 罩 甲
itm_song_min_lamellar_a_pl|东 方 短 罩 甲
itm_heraldic_armor_new|东 方 罩 甲
itm_heraldic_armor_new_pl|东 方 罩 甲
itm_summer_leather_armor|札 甲
itm_summer_leather_armor_pl|札 甲
itm_summer_leather_armor_two|札 甲
itm_summer_leather_armor_two_pl|札 甲
itm_song_leather_armor|札 甲
itm_song_leather_armor_pl|札 甲
itm_song_armor_two|札 甲
itm_song_armor_two_pl|札 甲
itm_song_leather_armor_b|札 甲
itm_song_leather_armor_b_pl|札 甲
itm_song_general|山 文 甲
itm_song_general_pl|山 文 甲
itm_god_leather_a|长 链 甲
itm_god_leather_a_pl|长 链 甲
itm_god_leather_b|链 甲
itm_god_leather_b_pl|链 甲
itm_god_leather_c|链 甲
itm_god_leather_c_pl|链 甲
itm_khassakileather|鳞 片 甲
itm_khassakileather_pl|鳞 片 甲
itm_khassakiscales|鳞 片 甲
itm_khassakiscales_pl|鳞 片 甲
itm_gunner_half_plate|骑 兵 胸 甲
itm_gunner_half_plate_pl|骑 兵 胸 甲
itm_dragoon|龙 骑 兵 制 服
itm_dragoon_pl|龙 骑 兵 制 服
itm_kuyak_a|罗 斯 片 甲
itm_kuyak_a_pl|罗 斯 片 甲
itm_kuyak_b|罗 斯 片 甲
itm_kuyak_b_pl|罗 斯 片 甲
itm_litchina_helm|罗 斯 盔
itm_litchina_helm_pl|罗 斯 盔
itm_rus_splint_greaves|夹 板 护 腿
itm_rus_splint_greaves_pl|夹 板 护 腿
itm_rus_lamellar_a|罗 斯 鳞 甲
itm_rus_lamellar_a_pl|罗 斯 鳞 甲
itm_rus_lamellar_b|罗 斯 鳞 甲
itm_rus_lamellar_b_pl|罗 斯 鳞 甲
itm_rus_scale|罗 斯 鳞 片 甲
itm_rus_scale_pl|罗 斯 鳞 片 甲
itm_drz_kaftan|罗 斯 软 铠 甲
itm_drz_kaftan_pl|罗 斯 软 铠 甲
itm_drz_lamellar_armor|罗 斯 鳞 片 甲
itm_drz_lamellar_armor_pl|罗 斯 鳞 片 甲
itm_a_h1|高 地 服 
itm_a_h1_pl|高 地 服 
itm_a_h1_1|高 地 服 
itm_a_h1_1_pl|高 地 服 
itm_a_h2|高 地 铠 甲
itm_a_h2_pl|高 地 铠 甲
itm_a_h2_1|高 地 铠 甲
itm_a_h2_1_pl|高 地 铠 甲
itm_a_h3|高 地 铠 甲
itm_a_h3_pl|高 地 铠 甲
itm_a_h3_1|高 地 铠 甲
itm_a_h3_1_pl|高 地 铠 甲
itm_a_h4|高 地 皮 甲
itm_a_h4_pl|高 地 皮 甲
itm_a_h4_1|高 地 皮 甲
itm_a_h4_1_pl|高 地 皮 甲
itm_zuqinga|足 轻 甲
itm_zuqinga_pl|足 轻 甲
itm_zuqingm|足 轻 甲
itm_zuqingm_pl|足 轻 甲
itm_zuqingq|足 轻 甲
itm_zuqingq_pl|足 轻 甲
itm_qianjing|武 士 铠
itm_qianjing_pl|武 士 铠
itm_jingyichibei|武 士 铠
itm_jingyichibei_pl|武 士 铠
itm_zhongjia_1|法 兰 西 重 甲 
itm_zhongjia_1_pl|法 兰 西 重 甲 
itm_zhongjia_2|重 甲 
itm_zhongjia_2_pl|重 甲 
itm_zhongjia_3|英 格 兰 重 甲 
itm_zhongjia_3_pl|英 格 兰 重 甲 
itm_zhongjia_4|神 罗 重 甲 
itm_zhongjia_4_pl|神 罗 重 甲 
itm_zhongjia_5|神 罗 重 甲 
itm_zhongjia_5_pl|神 罗 重 甲 
itm_jia1|东 方 甲 
itm_jia1_pl|东 方 甲 
itm_jia2|东 方 甲 
itm_jia2_pl|东 方 甲 
itm_jia3|东 方 甲 
itm_jia3_pl|东 方 甲 
itm_jia4|东 方 甲 
itm_jia4_pl|东 方 甲 
itm_mingjia1|布 面 甲
itm_mingjia1_pl|布 面 甲
itm_mingjia4|长 罩 甲
itm_mingjia4_pl|长 罩 甲
itm_mingjia5|长 罩 甲
itm_mingjia5_pl|长 罩 甲
itm_mingjia7|山 文 甲
itm_mingjia7_pl|山 文 甲
itm_mingjia8|山 文 甲
itm_mingjia8_pl|山 文 甲
itm_mingjia10|罩 甲
itm_mingjia10_pl|罩 甲
itm_mingjia11|大 明 锁 子 甲
itm_mingjia11_pl|大 明 锁 子 甲
itm_mingjia12|大 明 锁 子 甲
itm_mingjia12_pl|大 明 锁 子 甲
itm_mingkuei2|铁 帽
itm_mingkuei2_pl|铁 帽
itm_mingjia6|大 明 锁 子 甲
itm_mingjia6_pl|大 明 锁 子 甲
itm_mingjia2|布 面 甲
itm_mingjia2_pl|布 面 甲
itm_mingjia3|布 面 甲
itm_mingjia3_pl|布 面 甲
itm_jingyiwei1|锦 衣 卫 制 服
itm_jingyiwei1_pl|锦 衣 卫 制 服
itm_mingjia_j|布 面 甲
itm_mingjia_j_pl|布 面 甲
itm_mianjia|布 面 甲
itm_mianjia_pl|布 面 甲
itm_jingyiwei|锦 衣 卫 制 服
itm_jingyiwei_pl|锦 衣 卫 制 服
itm_bnw_armour_eng|英 格 兰 半 甲 
itm_bnw_armour_eng_pl|英 格 兰 半 甲 
itm_bnw_armour_por|葡 萄 牙 半 甲 
itm_bnw_armour_por_pl|葡 萄 牙 半 甲 
itm_bnw_armour_spa|西 班 牙 半 甲 
itm_bnw_armour_spa_pl|西 班 牙 半 甲 
itm_bnw_armour_hr|神 罗 半 甲 
itm_bnw_armour_hr_pl|神 罗 半 甲 
itm_bnw_armour_fra|法 兰 西 半 甲 
itm_bnw_armour_fra_pl|法 兰 西 半 甲 
itm_bnw_armour_kal|卡 尔 玛 半 甲 
itm_bnw_armour_kal_pl|卡 尔 玛 半 甲 
itm_bnw_armour_mil|米 兰 半 甲 
itm_bnw_armour_mil_pl|米 兰 半 甲 
itm_bnw_armour_sco|苏 格 兰 半 甲 
itm_bnw_armour_sco_pl|苏 格 兰 半 甲 
itm_bnw_armour_stripes_fra|法 兰 西 重 半 甲 
itm_bnw_armour_stripes_fra_pl|法 兰 西 重 半 甲 
itm_bnw_armour_stripes_spain|西 班 牙 重 半 甲 
itm_bnw_armour_stripes_spain_pl|西 班 牙 重 半 甲 
itm_bnw_armour_stripes_eng|英 格 兰 重 半 甲 
itm_bnw_armour_stripes_eng_pl|英 格 兰 重 半 甲 
itm_bnw_armour_stripes_por|葡 萄 牙 重 半 甲 
itm_bnw_armour_stripes_por_pl|葡 萄 牙 重 半 甲 
itm_bnw_armour_stripes_hr|神 罗 重 半 甲 
itm_bnw_armour_stripes_hr_pl|神 罗 重 半 甲 
itm_bnw_armour_stripes_kal|卡 尔 玛 重 半 甲 
itm_bnw_armour_stripes_kal_pl|卡 尔 玛 重 半 甲 
itm_kau_padded_mail_a|英 格 兰 软 甲 
itm_kau_padded_mail_a_pl|英 格 兰 软 甲 
itm_kau_rus_tunic_b|罗 斯 短 衣 
itm_kau_rus_tunic_b_pl|罗 斯 短 衣 
itm_kau_rus_tunic_c|罗 斯 短 衣 
itm_kau_rus_tunic_c_pl|罗 斯 短 衣 
itm_kau_rus_tunic_d|罗 斯 短 衣 
itm_kau_rus_tunic_d_pl|罗 斯 短 衣 
itm_rus_coat|链 甲 外 套 
itm_rus_coat_pl|链 甲 外 套 
itm_kau_mail_b|链 甲 外 套 1
itm_kau_mail_b_pl|链 甲 外 套 1
itm_wei_xiadi_archers_vest01|阿 拉 伯 弓 手 装 
itm_wei_xiadi_archers_vest01_pl|阿 拉 伯 弓 手 装 
itm_wei_xiadi_archers_vest02|阿 拉 伯 弓 手 装 
itm_wei_xiadi_archers_vest02_pl|阿 拉 伯 弓 手 装 
itm_wei_xiadi_archers_vest03|阿 拉 伯 弓 手 装 
itm_wei_xiadi_archers_vest03_pl|阿 拉 伯 弓 手 装 
itm_wei_xiadi_kher_kaftan|游 牧 装 
itm_wei_xiadi_kher_kaftan_pl|游 牧 装 
itm_wei_xiadi_kher_lamellar_vest01|游 牧 战 甲 
itm_wei_xiadi_kher_lamellar_vest01_pl|游 牧 战 甲 
itm_wei_xiadi_kher_robe|游 牧 长 袍 
itm_wei_xiadi_kher_robe_pl|游 牧 长 袍 
itm_wei_xiadi_rich_tunic02|短 衣 
itm_wei_xiadi_rich_tunic02_pl|短 衣 
itm_wei_xiadi_samurai_armor01|战 士 甲 
itm_wei_xiadi_samurai_armor01_pl|战 士 甲 
itm_wei_xiadi_samurai_armor02|战 士 甲 1
itm_wei_xiadi_samurai_armor02_pl|战 士 甲 1
itm_wei_xiadi_sarranid_mamluk_armor|链 甲 a
itm_wei_xiadi_sarranid_mamluk_armor_pl|链 甲 a
itm_wei_xiadi_sar_leather_chain|皮 链 甲 
itm_wei_xiadi_sar_leather_chain_pl|皮 链 甲 
itm_breastplate_on_black|黑 色 轻 板 甲 
itm_breastplate_on_black_pl|黑 色 轻 板 甲 
itm_breastplate_on_blue|蓝 色 轻 板 甲 
itm_breastplate_on_blue_pl|蓝 色 轻 板 甲 
itm_breastplate_on_empire|神 罗 轻 板 甲 
itm_breastplate_on_empire_pl|神 罗 轻 板 甲 
itm_breastplate_on_green|绿 色 轻 板 甲 
itm_breastplate_on_green_pl|绿 色 轻 板 甲 
itm_breastplate_on_plain|轻 板 甲 
itm_breastplate_on_plain_pl|轻 板 甲 
itm_breastplate_on_red|红 色 轻 板 甲 
itm_breastplate_on_red_pl|红 色 轻 板 甲 
itm_drz_kaftan2|哈 萨 克 外 套 
itm_drz_kaftan2_pl|哈 萨 克 外 套 
itm_fur_coat2|哈 萨 克 外 套 1
itm_fur_coat2_pl|哈 萨 克 外 套 1
itm_plate_harness_01|板 甲 
itm_plate_harness_01_pl|板 甲 
itm_plate_harness_02|板 甲 1
itm_plate_harness_02_pl|板 甲 1
itm_plate_harness_05|黑 色 板 甲 
itm_plate_harness_05_pl|黑 色 板 甲 
itm_platemail_harness_01|板 甲 2
itm_platemail_harness_01_pl|板 甲 2
itm_platemail_harness_02|板 甲 3
itm_platemail_harness_02_pl|板 甲 3
itm_gothic_armor_burgundian|西 班 牙 哥 特 甲 
itm_gothic_armor_burgundian_pl|西 班 牙 哥 特 甲 
itm_tur_milanese_armour_blue|蓝 色 米 兰 甲 
itm_tur_milanese_armour_blue_pl|蓝 色 米 兰 甲 
itm_tur_milanese_armour_green|绿 色 米 兰 甲 
itm_tur_milanese_armour_green_pl|绿 色 米 兰 甲 
itm_armour_2|板 甲 A
itm_armour_2_pl|板 甲 A
itm_brigandineplate|民 兵 衣 
itm_brigandineplate_pl|民 兵 衣 
itm_flamand_plate|蓝 色 半 甲 
itm_flamand_plate_pl|蓝 色 半 甲 
itm_gambeson_1|软 皮 甲 
itm_gambeson_1_pl|软 皮 甲 
itm_gambeson_2|软 皮 甲 2
itm_gambeson_2_pl|软 皮 甲 2
itm_gambeson_3|软 皮 甲 3
itm_gambeson_3_pl|软 皮 甲 3
itm_gambeson_4|软 皮 甲 1
itm_gambeson_4_pl|软 皮 甲 1
itm_gambeson_5|软 皮 甲 4
itm_gambeson_5_pl|软 皮 甲 4
itm_gambeson_6|软 皮 甲 5
itm_gambeson_6_pl|软 皮 甲 5
itm_gambeson_7|软 皮 甲 6
itm_gambeson_7_pl|软 皮 甲 6
itm_gambeson_it_fran|软 铠 甲 
itm_gambeson_it_fran_pl|软 铠 甲 
itm_gambeson_italy|软 皮 甲 8
itm_gambeson_italy_pl|软 皮 甲 8
itm_gambeson_italy_red|软 皮 甲 9
itm_gambeson_italy_red_pl|软 皮 甲 9
itm_gambeson_num|软 皮 甲 0
itm_gambeson_num_pl|软 皮 甲 0
itm_gothic_armor_france|法 兰 西 哥 特 板 甲 
itm_gothic_armor_france_pl|法 兰 西 哥 特 板 甲 
itm_gothic_armor_holy_rome|神 罗 哥 特 板 甲 
itm_gothic_armor_holy_rome_pl|神 罗 哥 特 板 甲 
itm_half_plate_4|神 罗 半 甲 4
itm_half_plate_4_pl|神 罗 半 甲 4
itm_half_plate_5|半 甲 2
itm_half_plate_5_pl|半 甲 2
itm_half_plate_ger|半 甲 3
itm_half_plate_ger_pl|半 甲 3
itm_half_plate_green|半 甲 绿
itm_half_plate_green_pl|半 甲 绿
itm_half_plate_yello|黄 色 半 甲 
itm_half_plate_yello_pl|黄 色 半 甲 
itm_half_plate_blue|半 甲 蓝 色 
itm_half_plate_blue_pl|半 甲 蓝 色 
itm_half_plate_meshco|半 甲 0
itm_half_plate_meshco_pl|半 甲 0
itm_half_plate_red|红 色 半 甲 
itm_half_plate_red_pl|红 色 半 甲 
itm_milanese_eng|英 格 兰 板 甲 
itm_milanese_eng_pl|英 格 兰 板 甲 
itm_milanese_armour_4|半 身 甲 a
itm_milanese_armour_4_pl|半 身 甲 a
itm_milanese_armour_6|半 身 甲 b
itm_milanese_armour_6_pl|半 身 甲 b
itm_milanese_armour_7|半 身 甲 c
itm_milanese_armour_7_pl|半 身 甲 c
itm_milanese_armour_fr3|米 兰 板 甲 1
itm_milanese_armour_fr3_pl|米 兰 板 甲 1
itm_milanese_armour_ger|米 兰 板 甲 2
itm_milanese_armour_ger_pl|米 兰 板 甲 2
itm_milanese_armour_green|米 兰 板 甲 3
itm_milanese_armour_green_pl|米 兰 板 甲 3
itm_milanese_armour_fr4|米 兰 板 甲 4
itm_milanese_armour_fr4_pl|米 兰 板 甲 4
itm_milanese_plate|米 兰 板 甲 
itm_milanese_plate_pl|米 兰 板 甲 
itm_qsj|重 板 甲 
itm_qsj_pl|重 板 甲 
itm_recruit_gambeson_bezh|软 甲 
itm_recruit_gambeson_bezh_pl|软 甲 
itm_lamellar_armor_black|重 型 片 甲 
itm_lamellar_armor_black_pl|重 型 片 甲 
itm_landsknecht_a|衬 衫 
itm_landsknecht_a_pl|衬 衫 
itm_landsknecht_b|衬 衫 1
itm_landsknecht_b_pl|衬 衫 1
itm_black_gambeson_a|短 软 甲 
itm_black_gambeson_a_pl|短 软 甲 
itm_blue_gambeson_a|短 软 甲 
itm_blue_gambeson_a_pl|短 软 甲 
itm_empire_gambeson_a|短 软 甲 
itm_empire_gambeson_a_pl|短 软 甲 
itm_green_gambeson_a|短 软 甲 
itm_green_gambeson_a_pl|短 软 甲 
itm_white_gambeson_a|短 软 甲 
itm_white_gambeson_a_pl|短 软 甲 
itm_brig_plate_black|铠 甲 
itm_brig_plate_black_pl|铠 甲 
itm_brig_plate_blue|铠 甲 1
itm_brig_plate_blue_pl|铠 甲 1
itm_brig_plate_green|铠 甲 2
itm_brig_plate_green_pl|铠 甲 2
itm_brig_plate_heraldic|铠 甲 3
itm_brig_plate_heraldic_pl|铠 甲 3
itm_brig_plate_red|铠 甲 4
itm_brig_plate_red_pl|铠 甲 4
itm_brigandine_empire|铠 甲 5
itm_brigandine_empire_pl|铠 甲 5
itm_cuirass_on_black|轻 甲 
itm_cuirass_on_black_pl|轻 甲 
itm_cuirass_on_blue|轻 甲 1
itm_cuirass_on_blue_pl|轻 甲 1
itm_cuirass_on_empire|轻 甲 2
itm_cuirass_on_empire_pl|轻 甲 2
itm_cuirass_on_green|轻 甲 3
itm_cuirass_on_green_pl|轻 甲 3
itm_cuirass_on_red|轻 甲 4
itm_cuirass_on_red_pl|轻 甲 4
itm_cuirass_on_white|轻 甲 5
itm_cuirass_on_white_pl|轻 甲 5
itm_plate_harness_blue|蓝 色 板 甲 
itm_plate_harness_blue_pl|蓝 色 板 甲 
itm_plate_harness_green|绿 色 板 甲 
itm_plate_harness_green_pl|绿 色 板 甲 
itm_plate_harness_red|红 色 板 甲 
itm_plate_harness_red_pl|红 色 板 甲 
itm_plate_harness_yellow|黄 色 板 甲 
itm_plate_harness_yellow_pl|黄 色 板 甲 
itm_platemail_harness_05|披 风 板 甲 
itm_platemail_harness_05_pl|披 风 板 甲 
itm_pol_svitka_pure_d|波 兰 外 套 
itm_pol_svitka_pure_d_pl|波 兰 外 套 
itm_pol_svitka_pure_b|波 兰 外 套 1
itm_pol_svitka_pure_b_pl|波 兰 外 套 1
itm_pol_svitka_pure_c|波 兰 外 套 2
itm_pol_svitka_pure_c_pl|波 兰 外 套 2
itm_pol_svitka_rich_a|波 兰 外 套 3
itm_pol_svitka_rich_a_pl|波 兰 外 套 3
itm_pol_svitka_rich_b|波 兰 外 套 4
itm_pol_svitka_rich_b_pl|波 兰 外 套 4
itm_pol_svitka_rich_d|波 兰 外 套 5
itm_pol_svitka_rich_d_pl|波 兰 外 套 5
itm_pol_svitka_rich_e|波 兰 外 套 6
itm_pol_svitka_rich_e_pl|波 兰 外 套 6
itm_pol_husar_yaguar|翼 骑 兵 甲 
itm_pol_husar_yaguar_pl|翼 骑 兵 甲 
itm_pol_koja_usilenaya|波 兰 链 甲 
itm_pol_koja_usilenaya_pl|波 兰 链 甲 
itm_pol_krilatiy_gusar|翼 骑 兵 甲 1
itm_pol_krilatiy_gusar_pl|翼 骑 兵 甲 1
itm_pol_krilatiy_gusar_b|翼 骑 兵 甲 0
itm_pol_krilatiy_gusar_b_pl|翼 骑 兵 甲 0
itm_poland_musket_shinel|波 兰 火 枪 手 制 服 
itm_poland_musket_shinel_pl|波 兰 火 枪 手 制 服 
itm_poland_shinel|波 兰 战 袍 
itm_poland_shinel_pl|波 兰 战 袍 
itm_polish_panzernik|波 兰 链 甲 1
itm_polish_panzernik_pl|波 兰 链 甲 1
itm_reestr_kozak|哥 萨 克 衣 
itm_reestr_kozak_pl|哥 萨 克 衣 
itm_boyar_puzo|波 耶 铠 甲 
itm_boyar_puzo_pl|波 耶 铠 甲 
itm_german_line_musketeer|线 条 火 枪 手 衣 
itm_german_line_musketeer_pl|线 条 火 枪 手 衣 
itm_german_line_pikiner|长 枪 兵 半 甲 
itm_german_line_pikiner_pl|长 枪 兵 半 甲 
itm_janichar1|新 军 制 服 1
itm_janichar1_pl|新 军 制 服 1
itm_janichar2|新 军 制 服 2
itm_janichar2_pl|新 军 制 服 2
itm_kalmyk_tors|蒙 古 甲 
itm_kalmyk_tors_pl|蒙 古 甲 
itm_merc_musketeer_a|火 枪 手 服 
itm_merc_musketeer_a_pl|火 枪 手 服 
itm_merc_musketeer_b|火 枪 手 服 1
itm_merc_musketeer_b_pl|火 枪 手 服 1
itm_merc_pikeman_a|长 枪 兵 服 
itm_merc_pikeman_a_pl|长 枪 兵 服 
itm_merc_pikeman_b|长 枪 兵 服 1
itm_merc_pikeman_b_pl|长 枪 兵 服 1
itm_mosk_bahter_simple|莫 斯 科 铠 甲 
itm_mosk_bahter_simple_pl|莫 斯 科 铠 甲 
itm_mosk_civil1|莫 斯 科 长 袍 
itm_mosk_civil1_pl|莫 斯 科 长 袍 
itm_mosk_civil2|莫 斯 科 长 袍 1
itm_mosk_civil2_pl|莫 斯 科 长 袍 1
itm_mosk_kuyak|莫 斯 科 战 甲 
itm_mosk_kuyak_pl|莫 斯 科 战 甲 
itm_mosk_streletz|火 枪 手 服 装 
itm_mosk_streletz_pl|火 枪 手 服 装 
itm_mosk_streletz_pure|火 枪 手 服 装 1
itm_mosk_streletz_pure_pl|火 枪 手 服 装 1
itm_mosk_streletz_pure_spear|矛 兵 服 
itm_mosk_streletz_pure_spear_pl|矛 兵 服 
itm_mosk_streletz_spear|矛 兵 服 1
itm_mosk_streletz_spear_pl|矛 兵 服 1
itm_mosk_tzar|华 服 
itm_mosk_tzar_pl|华 服 
itm_mosk_zertzalo|板 链 甲 
itm_mosk_zertzalo_pl|板 链 甲 
itm_moskow_bahter|板 链 甲 1
itm_moskow_bahter_pl|板 链 甲 1
itm_reytar_puzo|翼 骑 兵 甲 3
itm_reytar_puzo_pl|翼 骑 兵 甲 3
itm_rinda|贵 族 服 
itm_rinda_pl|贵 族 服 
itm_simple_halat3|克 里 木 袍 
itm_simple_halat3_pl|克 里 木 袍 
itm_swd_blck_reytar|黑 重 甲 
itm_swd_blck_reytar_pl|黑 重 甲 
itm_swd_reytar_simple|龙 骑 兵 甲 
itm_swd_reytar_simple_pl|龙 骑 兵 甲 
itm_swed_civil_1|蓝 色 平 民 服 
itm_swed_civil_1_pl|蓝 色 平 民 服 
itm_swed_civil_2|黑 色 平 民 服 
itm_swed_civil_2_pl|黑 色 平 民 服 
itm_swed_dragoon|瑞 典 骑 兵 服 
itm_swed_dragoon_pl|瑞 典 骑 兵 服 
itm_swed_kirasa|半 甲 04
itm_swed_kirasa_pl|半 甲 04
itm_swed_kirasa_b|半 甲 03
itm_swed_kirasa_b_pl|半 甲 03
itm_swed_kirasa_c|半 甲 01
itm_swed_kirasa_c_pl|半 甲 01
itm_swed_kirasa_major|半 甲 02
itm_swed_kirasa_major_pl|半 甲 02
itm_swed_leibguard|短 皮 衣 
itm_swed_leibguard_pl|短 皮 衣 
itm_swed_musketeer|火 枪 手 服 001
itm_swed_musketeer_pl|火 枪 手 服 001
itm_swed_pikeman|半 甲 09
itm_swed_pikeman_pl|半 甲 09
itm_swed_selyanin_b|瑞 典 骑 兵 甲 
itm_swed_selyanin_b_pl|瑞 典 骑 兵 甲 
itm_swed_swordmaster|重 甲 01
itm_swed_swordmaster_pl|重 甲 01
itm_ttr_bahter_a|链 甲 001
itm_ttr_bahter_a_pl|链 甲 001
itm_ttr_civil_1|平 民 服 1
itm_ttr_civil_1_pl|平 民 服 1
itm_ttr_civil_2|平 民 服 2
itm_ttr_civil_2_pl|平 民 服 2
itm_ttr_halat1|平 民 服 3
itm_ttr_halat1_pl|平 民 服 3
itm_ttr_halat2|平 民 服 4
itm_ttr_halat2_pl|平 民 服 4
itm_ttr_stega_halat1|平 民 服 5
itm_ttr_stega_halat1_pl|平 民 服 5
itm_ttr_stega_halat2|平 民 服 6
itm_ttr_stega_halat2_pl|平 民 服 6
itm_turk_azap|土 耳 其 衣 
itm_turk_azap_pl|土 耳 其 衣 
itm_ukr_civil_jupan_1|平 民 服 
itm_ukr_civil_jupan_1_pl|平 民 服 
itm_ukr_jupan_siniy|哥 萨 克 衣 
itm_ukr_jupan_siniy_pl|哥 萨 克 衣 
itm_ukr_jupan_usilenuy|哥 萨 克 链 甲 
itm_ukr_jupan_usilenuy_pl|哥 萨 克 链 甲 
itm_ukr_koj_kurtka|哥 萨 克 链 甲 1
itm_ukr_koj_kurtka_pl|哥 萨 克 链 甲 1
itm_ukr_pure_jupan_1|平 民 服 01
itm_ukr_pure_jupan_1_pl|平 民 服 01
itm_ukr_pure_jupan_2|平 民 服 02
itm_ukr_pure_jupan_2_pl|平 民 服 02
itm_ukr_pure_jupan_3|平 民 服 03
itm_ukr_pure_jupan_3_pl|平 民 服 03
itm_bakak|轻 甲 
itm_bakak_pl|轻 甲 
itm_goldsipahi|穆 斯 林 链 甲 
itm_goldsipahi_pl|穆 斯 林 链 甲 
itm_janichareteksiz|新 军 甲 
itm_janichareteksiz_pl|新 军 甲 
itm_janichareteksiz_mail|新 军 链 甲 
itm_janichareteksiz_mail_pl|新 军 链 甲 
itm_ola|穆 斯 林 链 甲 1
itm_ola_pl|穆 斯 林 链 甲 1
itm_tasarim|穆 斯 林 链 甲 2
itm_tasarim_pl|穆 斯 林 链 甲 2
